1  0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 283.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 58.00 2 : 29.00 3 : 9.00 4 : 0.00
1 : 0.00 2 : 156.00 3 : 48.00 4 : 68.00
1 : 0.00 2 : 361.00 3 : 68.00 4 : 234.00
1 : 0.00 2 : 429.00 3 : 0.00 4 : 341.00
1 : 0.00 2 : 78.00 3 : 0.00 4 : 156.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 263.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 29.00 2 : 78.00 3 : 39.00 4 : 9.00
1 : 0.00 2 : 253.00 3 : 68.00 4 : 107.00
1 : 0.00 2 : 400.00 3 : 58.00 4 : 283.00
1 : 0.00 2 : 439.00 3 : 0.00 4 : 332.00
1 : 0.00 2 : 78.00 3 : 0.00 4 : 126.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 136.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 341.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 68.00 2 : 48.00 3 : 19.00 4 : 0.00
1 : 9.00 2 : 195.00 3 : 39.00 4 : 39.00
1 : 0.00 2 : 439.00 3 : 58.00 4 : 195.00
1 : 0.00 2 : 380.00 3 : 0.00 4 : 390.00
1 : 0.00 2 : 29.00 3 : 0.00 4 : 126.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 419.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 283.00 2 : 9.00 3 : 0.00 4 : 0.00
1 : 39.00 2 : 126.00 3 : 19.00 4 : 0.00
1 : 0.00 2 : 371.00 3 : 39.00 4 : 68.00
1 : 0.00 2 : 556.00 3 : 58.00 4 : 263.00
1 : 0.00 2 : 351.00 3 : 0.00 4 : 244.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 283.00 2 : 39.00 3 : 9.00 4 : 0.00
1 : 78.00 2 : 126.00 3 : 9.00 4 : 0.00
1 : 19.00 2 : 234.00 3 : 19.00 4 : 19.00
1 : 9.00 2 : 341.00 3 : 19.00 4 : 48.00
1 : 0.00 2 : 341.00 3 : 9.00 4 : 48.00
1 : 0.00 2 : 312.00 3 : 0.00 4 : 58.00
1 : 0.00 2 : 146.00 3 : 0.00 4 : 39.00
1 : 0.00 2 : 39.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
1 : 0.00 2 : 0.00 3 : 0.00 4 : 0.00
